Website,PRODUCT PRICE,DISCOUNT,PRODUCT RATE,BRAND NAME,PRODUCT LINK
JUMIA,EGP 175.00,No Discount found,5 out of 5,Afri Medical 3 Layers Disposable Face Mask - 50Pcs,https://www.jumia.com.eg/afri-medical-3-layers-disposable-face-mask-50pcs-24045071.html
JUMIA,EGP 485.00,No Discount found,No Rate found,Purity Black Seed Oil 125ml,https://www.jumia.com.eg/purity-black-seed-oil-125ml-25183739.html
JUMIA,"EGP 30,500.00",13%,No Rate found,Sherif Gemstones Top Quality 30.55 Ct Natural Pear Cut Jewelry Making Swiss Blue Crackle Quartz,https://www.jumia.com.eg/sherif-gemstones-top-quality-30.55-ct-natural-pear-cut-jewelry-making-swiss-blue-crackle-quartz-24773643.html
JUMIA,EGP 160.00,No Discount found,4.4 out of 5,Infinity Hand Gel Sanitizer 70% Alcohol - 80ml,https://www.jumia.com.eg/hand-gel-sanitizer-70-alcohol-80ml-infinity-mpg871838.html
JUMIA,EGP 399.00,34%,5 out of 5,Premium Refill Ink Premium 5 Color 100 Ml For Ink Jet Printers,https://www.jumia.com.eg/premium-refill-ink-premium-5-color-100-ml-for-ink-jet-printers-48351147.html
JUMIA,EGP 78.99,60%,3.3 out of 5,AM-Shop Set Of (12) Socks - For Kids,https://www.jumia.com.eg/am-shop-set-of-12-socks-for-kids-47494801.html
JUMIA,EGP 300.00,No Discount found,No Rate found,Junior Baby Boys Romper,https://www.jumia.com.eg/junior-baby-boys-romper-49055713.html
JUMIA,"EGP 142,180.00",No Discount found,No Rate found,Forex Shredder Machine X1000,https://www.jumia.com.eg/forex-shredder-machine-x1000-22778711.html
JUMIA,EGP 40.00,No Discount found,4.8 out of 5,Twinkle Elegant Shoes & Bags Leather Varnish - Black,https://www.jumia.com.eg/twinkle-elegant-shoes-bags-leather-varnish-black-45281088.html
JUMIA,EGP 390.00,40%,5 out of 5,Disney McQueen Pajamas From Disney Cars,https://www.jumia.com.eg/disney-mcqueen-pajamas-from-disney-cars-34554834.html
JUMIA,EGP 400.00,No Discount found,4.5 out of 5,Nagafa Shop Modern Silver Hanging Ball Ring RS1005,https://www.jumia.com.eg/nagafa-shop-modern-silver-hanging-ball-ring-rs1005-29214595.html
JUMIA,EGP 550.00,No Discount found,4.2 out of 5,Modern Home R_101 - Modern Decor Shelf - Black,https://www.jumia.com.eg/r101-modern-decor-shelf-black-modern-home-mpg697019.html
